Member_number,Date,itemDescription
4100,4/23/2014,whole milk
1553,5/9/2014,baking powder
3628,1/8/2014,nut snack
2280,11/12/2014,candles
4236,5/13/2014,napkins
1358,12/15/2014,whipped/sour cream
4638,11/10/2014,whipped/sour cream
1343,11/27/2014,fruit/vegetable juice
3612,2/16/2014,flour
4596,2/19/2014,soda
2399,3/26/2014,napkins
3300,10/7/2014,rolls/buns
3502,2/14/2014,coffee
1127,6/2/2014,soda
1296,5/19/2014,soft cheese
3739,12/1/2014,red/blush wine
4661,2/15/2014,cream cheese 
3287,4/23/2014,napkins
4746,2/1/2014,margarine
4282,6/20/2014,baking powder
3757,7/4/2014,dessert
3279,9/10/2014,soda
3387,9/22/2014,shopping bags
2553,12/26/2014,bottled water
3697,11/2/2014,other vegetables
1819,12/22/2014,coffee
2607,1/25/2014,margarine
2615,5/29/2014,chocolate
1196,8/15/2014,domestic eggs
2926,6/16/2014,domestic eggs
2294,8/1/2014,sugar
4967,4/22/2014,rolls/buns
1284,1/9/2014,salty snack
2089,3/5/2014,pastry
1284,6/26/2014,margarine
1246,3/3/2014,whipped/sour cream
3038,4/18/2014,pot plants
2910,3/28/2014,other vegetables
3957,1/9/2014,salty snack
4493,3/16/2014,whipped/sour cream
1972,2/5/2014,bottled beer
2492,10/3/2014,instant coffee
2943,11/9/2014,chocolate marshmallow
2686,12/20/2014,ready soups
3968,5/11/2014,bottled beer
1955,3/6/2014,shopping bags
2665,11/10/2014,chocolate marshmallow
3850,3/27/2014,cling film/bags
2973,10/31/2014,domestic eggs
3264,6/27/2014,white bread
1591,1/15/2014,frozen meals
1747,7/9/2014,roll products 
1255,9/26/2014,soda
4683,9/17/2014,specialty bar
1102,4/13/2014,candy
4618,11/18/2014,other vegetables
2508,5/28/2014,frozen vegetables
4165,3/4/2014,hard cheese
2168,6/10/2014,fruit/vegetable juice
2929,10/22/2014,cleaner
1316,1/17/2014,rolls/buns
3991,3/7/2014,kitchen towels
2142,8/27/2014,waffles
4671,10/22/2014,house keeping products
1051,12/26/2014,shopping bags
1410,6/24/2014,whipped/sour cream
3752,11/25/2014,dish cleaner
1054,1/16/2014,soda
2591,1/9/2014,soda
2454,7/22/2014,soda
2510,4/20/2014,margarine
1946,4/29/2014,cooking chocolate
4069,4/8/2014,baking powder
2778,9/5/2014,domestic eggs
1175,9/20/2014,pasta
4292,1/19/2014,whipped/sour cream
3776,3/16/2014,dishes
2573,8/5/2014,long life bakery product
2510,6/23/2014,chocolate
1003,1/19/2014,frozen meals
4699,7/21/2014,coffee
3189,10/28/2014,rolls/buns
4406,6/4/2014,hard cheese
2325,1/20/2014,whole milk
4069,10/8/2014,pickled vegetables
1726,5/15/2014,pastry
3026,10/6/2014,chewing gum
4015,2/5/2014,rolls/buns
3260,12/30/2014,dish cleaner
3890,12/21/2014,soda
2237,10/10/2014,coffee
2641,7/20/2014,soda
2581,2/8/2014,canned beer
2030,6/9/2014,shopping bags
2024,7/21/2014,dessert
1729,4/19/2014,newspapers
2331,8/4/2014,tropical fruit
1890,12/9/2014,roll products 
4579,10/5/2014,butter
3140,3/8/2014,salty snack
4492,4/24/2014,brown bread
3537,3/26/2014,coffee
3581,10/23/2014,frozen meals
4924,1/19/2014,pastry
2589,11/4/2014,spices
3302,6/22/2014,hygiene articles
4566,4/13/2014,white bread
2758,1/30/2014,napkins
4790,7/9/2014,candy
4178,12/18/2014,bottled beer
2051,1/5/2014,flour
1647,11/20/2014,specialty chocolate
2778,5/15/2014,soda
1651,3/23/2014,soda
3760,11/9/2014,yogurt
4511,9/15/2014,soda
4674,5/31/2014,bottled water
3684,7/20/2014,napkins
3094,6/26/2014,cream cheese 
2726,2/8/2014,cream cheese 
4897,11/25/2014,coffee
3408,7/4/2014,root vegetables
4294,3/3/2014,domestic eggs
4404,4/29/2014,root vegetables
3692,1/2/2014,frozen dessert
2370,7/27/2014,chewing gum
2137,4/25/2014,canned vegetables
4272,7/22/2014,pastry
3042,11/7/2014,rolls/buns
2974,2/9/2014,pastry
1967,3/11/2014,fruit/vegetable juice
1208,3/8/2014,soft cheese
2436,11/27/2014,newspapers
3379,10/12/2014,roll products 
3148,10/25/2014,shopping bags
2831,5/25/2014,fruit/vegetable juice
1796,6/8/2014,chocolate
4729,12/27/2014,shopping bags
3308,5/11/2014,tea
3848,4/1/2014,chocolate marshmallow
1641,9/2/2014,cream cheese 
1279,4/28/2014,pastry
3495,3/9/2014,pastry
4484,4/23/2014,shopping bags
4578,8/13/2014,white bread
1027,9/22/2014,rolls/buns
2388,8/28/2014,salty snack
4762,8/7/2014,pastry
4687,6/13/2014,soda
1965,2/1/2014,chewing gum
3246,4/10/2014,yogurt
2541,1/14/2014,soda
4363,12/24/2014,long life bakery product
4143,7/3/2014,mustard
2038,4/2/2014,pastry
1865,6/6/2014,bottled beer
1003,2/27/2014,rolls/buns
3358,9/9/2014,cream cheese 
4782,10/30/2014,margarine
4952,7/15/2014,sugar
4042,7/26/2014,frozen dessert
2907,2/9/2014,candy
4693,3/29/2014,bottled beer
1980,12/9/2014,domestic eggs
4217,7/27/2014,dishes
4106,9/21/2014,pastry
4137,12/9/2014,shopping bags
2862,2/6/2014,kitchen towels
4115,7/5/2014,shopping bags
3394,11/22/2014,yogurt
2729,5/22/2014,soft cheese
1949,10/18/2014,semi-finished bread
4832,8/28/2014,shopping bags
1276,7/6/2014,dessert
3584,7/20/2014,frozen fish
2958,12/17/2014,bottled water
4061,4/7/2014,dish cleaner
3568,8/13/2014,beverages
1680,5/15/2014,pet care
1588,7/19/2014,root vegetables
2923,2/11/2014,yogurt
4751,2/3/2014,butter
1633,5/7/2014,ready soups
2235,10/13/2014,frozen vegetables
1466,9/4/2014,rolls/buns
3520,12/5/2014,sliced cheese
3090,7/6/2014,newspapers
2341,12/22/2014,rolls/buns
2140,6/10/2014,whole milk
1017,10/14/2014,brown bread
2177,8/19/2014,soups
3129,2/6/2014,coffee
4299,10/21/2014,seasonal products
1294,6/24/2014,white wine
2851,1/16/2014,rolls/buns
3948,8/4/2014,whipped/sour cream
2047,4/28/2014,waffles
1910,2/26/2014,margarine
2834,1/8/2014,sliced cheese
1561,5/15/2014,sugar
1552,9/1/2014,rolls/buns
3353,10/5/2014,soda
1646,6/17/2014,white bread
1554,1/31/2014,hygiene articles
1622,5/17/2014,misc. beverages
3575,3/5/2014,butter
4396,3/20/2014,roll products 
4858,1/14/2014,detergent
1012,6/22/2014,frozen vegetables
4137,12/21/2014,fruit/vegetable juice
1342,2/14/2014,napkins
2573,1/21/2014,pastry
4437,11/13/2014,other vegetables
2175,5/23/2014,pastry
3879,8/18/2014,brown bread
4378,5/10/2014,vinegar
4721,1/7/2014,processed cheese
2138,1/10/2014,bottled water
4673,10/12/2014,bottled water
1806,6/20/2014,whipped/sour cream
2924,3/27/2014,sliced cheese
4201,10/21/2014,rolls/buns
2763,5/31/2014,shopping bags
3101,5/21/2014,fruit/vegetable juice
1235,5/26/2014,butter
4715,4/9/2014,specialty fat
4684,11/7/2014,oil
4840,4/15/2014,whole milk
3137,11/29/2014,newspapers
2121,4/22/2014,soda
3054,1/17/2014,semi-finished bread
3156,2/1/2014,whipped/sour cream
3965,9/21/2014,yogurt
2011,1/20/2014,whipped/sour cream
2184,5/19/2014,shopping bags
3777,2/26/2014,waffles
2199,1/30/2014,coffee
1983,2/10/2014,margarine
2806,1/21/2014,newspapers
3657,7/28/2014,pastry
1606,5/8/2014,butter
4211,3/22/2014,rolls/buns
3822,4/9/2014,frozen vegetables
2868,2/4/2014,soda
4674,5/15/2014,dishes
1130,8/18/2014,yogurt
3530,6/18/2014,frozen meals
1998,2/22/2014,whipped/sour cream
1174,11/19/2014,baking powder
1070,5/11/2014,cream cheese 
1654,10/8/2014,cream cheese 
4104,5/11/2014,domestic eggs
3113,6/1/2014,hygiene articles
3911,3/24/2014,mayonnaise
1057,5/3/2014,salty snack
1618,11/17/2014,cream cheese 
3385,4/5/2014,UHT-milk
3462,4/2/2014,pet care
1773,12/18/2014,bottled water
4202,2/28/2014,popcorn
2258,5/3/2014,yogurt
3474,11/26/2014,newspapers
2421,6/5/2014,other vegetables
3722,5/7/2014,butter
4894,9/23/2014,dishes
3514,7/23/2014,soda
3807,2/3/2014,cat food
2660,3/20/2014,bottled water
1419,5/17/2014,flour
2271,9/30/2014,frozen dessert
3188,8/5/2014,fruit/vegetable juice
1598,4/25/2014,cream cheese 
1337,6/8/2014,cling film/bags
4740,10/10/2014,rolls/buns
3275,4/12/2014,yogurt
2832,5/30/2014,specialty chocolate
1609,2/7/2014,soft cheese
2627,5/17/2014,liquor (appetizer)
4285,8/17/2014,pastry
3418,11/27/2014,beverages
4732,3/12/2014,soda
3442,11/16/2014,canned fish
3946,12/26/2014,salt
2990,3/30/2014,rolls/buns
3225,7/15/2014,bottled beer
1494,11/23/2014,pip fruit
3549,6/12/2014,frozen meals
3384,9/23/2014,rolls/buns
3746,3/1/2014,meat spreads
3603,8/13/2014,white bread
2120,5/30/2014,butter
2065,10/20/2014,soda
1285,10/27/2014,pastry
3835,8/5/2014,pastry
2160,1/15/2014,margarine
4995,2/6/2014,mayonnaise
1970,1/29/2014,citrus fruit
2043,7/7/2014,shopping bags
3487,9/1/2014,rolls/buns
2524,10/17/2014,domestic eggs
2045,10/2/2014,soda
2445,5/31/2014,tropical fruit
4616,1/31/2014,pastry
2195,8/3/2014,canned beer
1883,5/31/2014,dishes
2083,10/21/2014,brown bread
4576,11/21/2014,dessert
4464,11/4/2014,oil
3925,7/26/2014,bottled water
4450,10/31/2014,bottled beer
1059,11/6/2014,dessert
4113,3/14/2014,root vegetables
4154,7/26/2014,frozen fish
2490,4/19/2014,white bread
1551,4/28/2014,mayonnaise
1275,6/11/2014,rolls/buns
3935,10/19/2014,rolls/buns
3487,10/25/2014,pip fruit
3986,8/9/2014,oil
3282,10/26/2014,kitchen towels
4488,10/20/2014,ice cream
4946,3/4/2014,yogurt
4081,4/16/2014,chocolate marshmallow
1603,3/16/2014,flour
1107,8/13/2014,whole milk
2272,7/25/2014,yogurt
4705,12/4/2014,female sanitary products
1811,8/16/2014,long life bakery product
2772,3/8/2014,whipped/sour cream
4412,9/12/2014,specialty chocolate
1219,2/10/2014,canned beer
4435,10/17/2014,domestic eggs
2715,1/28/2014,newspapers
2121,3/11/2014,chocolate
2802,4/27/2014,chocolate
1741,7/19/2014,margarine
4278,3/7/2014,soda
1634,10/2/2014,fruit/vegetable juice
3856,8/2/2014,yogurt
3029,10/19/2014,vinegar
3361,6/23/2014,softener
4613,7/17/2014,fruit/vegetable juice
1805,11/11/2014,soda
2147,2/5/2014,soda
1864,4/29/2014,domestic eggs
2789,9/19/2014,flour
2296,12/6/2014,domestic eggs
1526,11/5/2014,sugar
4951,10/5/2014,newspapers
3809,11/5/2014,red/blush wine
2685,6/12/2014,rolls/buns
1107,7/22/2014,rolls/buns
4264,7/20/2014,soft cheese
4974,5/11/2014,root vegetables
1081,11/2/2014,beverages
1111,7/5/2014,other vegetables
4683,6/30/2014,oil
2835,11/21/2014,rolls/buns
4123,7/7/2014,bottled water
1613,2/8/2014,whole milk
3361,1/14/2014,white wine
3425,2/7/2014,pastry
3617,2/8/2014,brown bread
4669,5/8/2014,specialty chocolate
1922,2/7/2014,bottled water
2947,3/3/2014,bottled water
3953,5/13/2014,red/blush wine
1169,4/15/2014,napkins
4192,2/17/2014,whole milk
1239,2/8/2014,roll products 
3041,2/18/2014,pastry
2520,1/16/2014,canned fruit
2426,12/9/2014,root vegetables
1235,5/11/2014,dog food
3799,9/17/2014,whipped/sour cream
1124,5/3/2014,bottled beer
3035,4/16/2014,male cosmetics
4832,12/18/2014,specialty bar
2394,2/24/2014,whipped/sour cream
4185,11/20/2014,rolls/buns
1832,1/9/2014,spread cheese
2666,11/4/2014,frozen vegetables
4686,11/24/2014,whipped/sour cream
2120,1/21/2014,soda
1186,9/2/2014,soda
2377,2/13/2014,pastry
3675,7/13/2014,butter milk
3466,5/31/2014,rolls/buns
4211,2/5/2014,rolls/buns
2832,4/8/2014,curd
4811,12/9/2014,bottled water
3619,12/21/2014,cat food
1722,10/13/2014,butter
1681,4/20/2014,butter
4097,7/14/2014,other vegetables
3878,4/19/2014,misc. beverages
4983,6/21/2014,root vegetables
3100,11/8/2014,margarine
1680,10/12/2014,specialty bar
2041,10/9/2014,dessert
3006,6/1/2014,waffles
1445,1/23/2014,pip fruit
2920,3/12/2014,canned beer
3495,10/22/2014,domestic eggs
4401,9/10/2014,bottled water
1219,3/7/2014,red/blush wine
4331,5/25/2014,coffee
2881,1/6/2014,butter milk
2475,2/1/2014,roll products 
1171,4/9/2014,brown bread
2137,1/19/2014,UHT-milk
1180,2/2/2014,frozen potato products
2679,11/14/2014,yogurt
2025,4/9/2014,cat food
2394,5/20/2014,canned beer
1472,5/11/2014,yogurt
2197,6/7/2014,long life bakery product
4824,6/19/2014,cream
2322,1/19/2014,sweet spreads
4639,11/22/2014,butter milk
3544,7/13/2014,house keeping products
1256,6/17/2014,tea
2456,3/15/2014,pastry
3728,10/28/2014,whipped/sour cream
2619,12/1/2014,shopping bags
1010,10/4/2014,kitchen towels
4264,2/18/2014,newspapers
2576,10/7/2014,napkins
3718,3/30/2014,candles
1950,11/10/2014,rolls/buns
4520,1/3/2014,mustard
1353,12/22/2014,whipped/sour cream
4194,11/19/2014,pastry
3095,11/26/2014,rolls/buns
1130,1/11/2014,margarine
4796,8/1/2014,curd
2710,12/18/2014,soda
3548,3/12/2014,other vegetables
3558,9/11/2014,canned fish
4474,2/4/2014,butter milk
3878,11/27/2014,frozen potato products
1221,11/15/2014,sugar
1009,1/24/2014,canned fish
1169,5/6/2014,napkins
3959,3/12/2014,sparkling wine
2355,12/29/2014,whole milk
2845,11/26/2014,sliced cheese
2320,3/15/2014,newspapers
4169,3/30/2014,frozen vegetables
4800,3/14/2014,soda
3972,9/10/2014,soda
4322,7/25/2014,misc. beverages
3459,4/12/2014,white bread
2654,7/4/2014,misc. beverages
3113,11/10/2014,soda
1456,5/26/2014,whipped/sour cream
3947,5/12/2014,cocoa drinks
2230,11/14/2014,processed cheese
4133,4/8/2014,white wine
1761,5/4/2014,shopping bags
2958,11/3/2014,soda
4923,3/4/2014,potato products
4412,11/3/2014,root vegetables
3368,11/19/2014,white wine
1307,3/10/2014,pastry
4793,11/25/2014,bottled water
1080,2/11/2014,canned beer
4693,4/6/2014,bottled beer
4167,8/28/2014,detergent
3474,1/31/2014,fruit/vegetable juice
3945,10/15/2014,margarine
3499,10/14/2014,hard cheese
1753,5/6/2014,cream cheese 
2524,3/31/2014,rolls/buns
1105,6/14/2014,other vegetables
2581,5/26/2014,bottled water
3793,10/12/2014,canned fruit
1690,5/30/2014,brown bread
3496,12/20/2014,margarine
4526,9/27/2014,sugar
4129,2/4/2014,waffles
1761,10/29/2014,pudding powder
3498,8/16/2014,coffee
2656,3/31/2014,margarine
4262,3/3/2014,domestic eggs
3289,1/24/2014,other vegetables
1679,10/23/2014,rolls/buns
2594,6/1/2014,soft cheese
4538,6/18/2014,coffee
4941,10/25/2014,white bread
4564,6/7/2014,shopping bags
4290,4/9/2014,ice cream
2202,2/1/2014,coffee
2343,8/19/2014,candles
2209,8/25/2014,napkins
1404,2/10/2014,long life bakery product
3914,12/11/2014,rolls/buns
4065,6/5/2014,bottled beer
4220,4/8/2014,sliced cheese
1074,8/5/2014,oil
2434,9/12/2014,detergent
2633,7/28/2014,long life bakery product
1143,11/18/2014,oil
3767,6/22/2014,sweet spreads
2661,8/28/2014,rolls/buns
2093,12/24/2014,whipped/sour cream
2696,11/23/2014,dishes
2927,1/13/2014,rolls/buns
4003,12/21/2014,shopping bags
3451,8/1/2014,soda
1750,6/16/2014,shopping bags
1085,5/25/2014,yogurt
2034,6/28/2014,shopping bags
4676,2/21/2014,margarine
4132,2/12/2014,Instant food products
2822,6/16/2014,shopping bags
3645,5/31/2014,chocolate
1446,3/26/2014,pasta
2222,2/22/2014,cling film/bags
4426,4/8/2014,oil
1854,9/30/2014,newspapers
4645,5/2/2014,oil
2674,3/9/2014,soda
1369,1/12/2014,sugar
4325,7/19/2014,chocolate
4335,6/28/2014,fruit/vegetable juice
2642,9/1/2014,long life bakery product
1318,2/15/2014,mustard
1062,8/5/2014,white bread
4131,3/20/2014,napkins
3793,11/13/2014,fruit/vegetable juice
2618,6/9/2014,soda
4090,3/6/2014,specialty bar
1480,5/5/2014,shopping bags
4078,6/21/2014,soda
2817,6/19/2014,bottled water
1999,2/4/2014,brown bread
2490,3/27/2014,shopping bags
1991,12/23/2014,bottled beer
4156,3/4/2014,hygiene articles
1215,4/28/2014,sauces
1612,11/26/2014,frozen meals
3495,2/18/2014,fruit/vegetable juice
3749,4/29/2014,canned beer
1514,2/26/2014,bottled water
2892,11/20/2014,soda
4562,5/26/2014,female sanitary products
2568,11/21/2014,hard cheese
2750,11/1/2014,waffles
4348,11/2/2014,salty snack
4241,9/22/2014,popcorn
2707,10/30/2014,margarine
4441,2/15/2014,butter
1646,7/21/2014,shopping bags
4427,8/12/2014,soda
3764,5/26/2014,sugar
4680,1/23/2014,white wine
2155,8/17/2014,candles
4510,1/11/2014,whole milk
3400,10/7/2014,bottled water
3975,4/29/2014,soda
3775,10/11/2014,newspapers
4893,10/2/2014,sliced cheese
1870,7/12/2014,brown bread
1384,2/22/2014,soda
4357,7/9/2014,whole milk
2035,1/7/2014,rice
1715,8/12/2014,margarine
4557,7/14/2014,napkins
4235,9/18/2014,soda
4041,4/25/2014,canned fish
3937,8/10/2014,UHT-milk
4577,6/22/2014,napkins
1561,2/4/2014,white bread
4720,10/1/2014,chocolate
1863,1/6/2014,seasonal products
3862,3/24/2014,artif. sweetener
1838,5/8/2014,canned beer
4694,3/21/2014,newspapers
3468,1/21/2014,butter
4872,10/24/2014,shopping bags
4626,3/23/2014,canned beer
2278,10/11/2014,soda
4758,11/15/2014,fruit/vegetable juice
3003,8/5/2014,whole milk
4683,9/26/2014,curd cheese
1229,7/26/2014,mustard
2927,11/12/2014,jam
3341,6/10/2014,brown bread
2215,2/2/2014,curd
1711,9/5/2014,newspapers
3491,6/21/2014,detergent
3505,3/18/2014,meat spreads
4669,3/14/2014,whole milk
2557,1/29/2014,bottled water
4283,4/4/2014,candy
4679,9/18/2014,whipped/sour cream
2651,8/1/2014,dishes
4071,6/26/2014,shopping bags
2587,11/12/2014,fruit/vegetable juice
4091,6/30/2014,meat spreads
3002,12/12/2014,hygiene articles
2035,10/8/2014,white bread
2772,5/8/2014,frozen meals
3431,7/31/2014,canned fish
2166,7/14/2014,canned fish
4688,7/7/2014,fruit/vegetable juice
1585,10/16/2014,fruit/vegetable juice
1308,8/21/2014,white wine
4190,9/30/2014,domestic eggs
3611,9/21/2014,cake bar
3933,2/12/2014,hard cheese
3877,6/2/2014,soda
4787,8/27/2014,fruit/vegetable juice
2063,2/6/2014,brandy
1940,9/2/2014,yogurt
2993,8/16/2014,chewing gum
2316,2/18/2014,shopping bags
2175,8/16/2014,male cosmetics
4445,5/23/2014,flower (seeds)
3812,4/4/2014,cereals
4577,5/29/2014,frozen meals
3248,8/13/2014,other vegetables
4821,12/12/2014,rolls/buns
2835,1/28/2014,domestic eggs
1998,10/2/2014,candles
3080,2/15/2014,yogurt
3864,12/26/2014,long life bakery product
1410,6/7/2014,kitchen towels
4037,12/26/2014,ice cream
1696,6/17/2014,cream cheese 
3678,7/7/2014,pasta
2644,5/5/2014,misc. beverages
1786,4/23/2014,specialty bar
2357,11/27/2014,fruit/vegetable juice
4478,6/20/2014,roll products 
4294,12/17/2014,butter milk
1908,1/23/2014,sauces
4800,11/3/2014,long life bakery product
4265,8/3/2014,bottled water
4735,5/23/2014,sliced cheese
1290,2/18/2014,rice
3633,6/13/2014,soda
4992,2/24/2014,margarine
1069,12/18/2014,salt
1563,4/27/2014,long life bakery product
4146,11/4/2014,root vegetables
4745,8/20/2014,soft cheese
2138,1/4/2014,seasonal products
3207,4/24/2014,yogurt
2672,5/22/2014,soda
1087,6/19/2014,specialty chocolate
2259,1/6/2014,processed cheese
2597,4/2/2014,fruit/vegetable juice
2713,9/28/2014,long life bakery product
3389,6/30/2014,chocolate
4853,7/23/2014,chocolate
4788,7/28/2014,whole milk
2957,2/26/2014,fruit/vegetable juice
4134,9/30/2014,whole milk
3773,11/9/2014,frozen fish
4309,4/13/2014,waffles
4959,10/18/2014,rolls/buns
1895,2/13/2014,soups
1824,3/28/2014,chocolate
4504,2/3/2014,seasonal products
4109,4/23/2014,margarine
3549,3/14/2014,yogurt
1293,8/16/2014,canned beer
2006,10/26/2014,pot plants
2918,5/27/2014,rolls/buns
4250,10/25/2014,shopping bags
1146,1/30/2014,curd
1173,7/8/2014,specialty bar
4324,10/29/2014,butter milk
3397,10/28/2014,whipped/sour cream
4990,4/15/2014,cream cheese 
2548,5/28/2014,waffles
4433,10/31/2014,bottled water
2912,8/11/2014,newspapers
3661,4/3/2014,pastry
3402,8/1/2014,newspapers
4650,5/28/2014,pastry
4890,8/11/2014,fruit/vegetable juice
1748,8/14/2014,rolls/buns
4606,5/30/2014,long life bakery product
3079,4/13/2014,mustard
3903,7/4/2014,baking powder
4221,4/5/2014,dish cleaner
1066,12/6/2014,oil
4762,3/28/2014,rolls/buns
4955,10/12/2014,processed cheese
1416,8/15/2014,cream cheese 
4761,5/23/2014,frozen fish
3956,7/8/2014,margarine
4125,9/21/2014,pastry
3470,11/22/2014,flower (seeds)
1899,9/12/2014,dessert
2241,1/22/2014,butter
2449,7/8/2014,newspapers
3618,7/22/2014,brown bread
1510,12/24/2014,domestic eggs
2804,3/21/2014,fruit/vegetable juice
3769,2/16/2014,pickled vegetables
4435,6/12/2014,salty snack
1641,11/8/2014,bottled beer
1798,12/15/2014,pastry
4623,9/1/2014,newspapers
2496,6/24/2014,soda
4112,10/14/2014,whipped/sour cream
1617,7/2/2014,sauces
2849,8/28/2014,bottled water
2426,8/19/2014,bottled water
1895,11/23/2014,soft cheese
2118,1/16/2014,butter milk
4590,8/19/2014,candy
1851,11/8/2014,flour
1186,4/17/2014,soda
2656,10/19/2014,pot plants
3563,8/14/2014,newspapers
3989,4/26/2014,ready soups
1393,8/26/2014,pastry
1706,2/4/2014,yogurt
2111,12/11/2014,shopping bags
3593,6/4/2014,chocolate
4255,9/29/2014,yogurt
4089,3/18/2014,dessert
3861,12/2/2014,whipped/sour cream
1358,10/16/2014,whipped/sour cream
3016,4/21/2014,whipped/sour cream
4563,1/28/2014,frozen fish
1074,1/29/2014,detergent
4933,1/2/2014,hard cheese
4096,5/23/2014,pasta
2087,6/29/2014,whole milk
2766,5/27/2014,candles
2236,4/22/2014,shopping bags
1651,4/2/2014,hygiene articles
2423,12/2/2014,roll products 
2420,7/17/2014,soda
4145,2/13/2014,candy
2616,9/4/2014,soda
4323,9/20/2014,detergent
1792,11/24/2014,frozen vegetables
2977,11/26/2014,processed cheese
4375,1/31/2014,butter
2232,3/2/2014,bottled water
2905,1/17/2014,waffles
1912,3/19/2014,pot plants
4665,5/11/2014,shopping bags
3325,4/24/2014,UHT-milk
2153,2/14/2014,soda
1798,6/16/2014,instant coffee
3934,3/27/2014,rolls/buns
4484,6/6/2014,whipped/sour cream
2713,8/5/2014,ketchup
1533,10/2/2014,specialty fat
1529,1/3/2014,preservation products
1905,8/25/2014,chewing gum
3361,12/19/2014,butter milk
2195,9/19/2014,other vegetables
3221,3/17/2014,fruit/vegetable juice
3667,9/15/2014,candy
2129,2/19/2014,oil
1233,9/6/2014,whipped/sour cream
2675,1/9/2014,UHT-milk
2701,6/17/2014,rolls/buns
1788,9/7/2014,long life bakery product
2876,12/20/2014,whole milk
4465,12/29/2014,onions
4330,7/12/2014,mustard
2459,1/3/2014,curd
1739,11/9/2014,pastry
2524,7/4/2014,chocolate
2273,11/25/2014,whole milk
4557,12/8/2014,rum
2505,2/2/2014,fruit/vegetable juice
3882,1/8/2014,hard cheese
3308,12/9/2014,soda
2605,8/30/2014,ketchup
4180,4/21/2014,white bread
3551,10/14/2014,root vegetables
4406,2/2/2014,other vegetables
4962,4/10/2014,condensed milk
4799,4/17/2014,sweet spreads
1862,10/23/2014,soda
2043,1/2/2014,waffles
4440,10/7/2014,whipped/sour cream
3139,7/7/2014,pot plants
4344,10/30/2014,softener
1616,6/12/2014,whole milk
3374,7/29/2014,bottled water
1881,7/15/2014,whipped/sour cream
4372,1/30/2014,pastry
4036,1/22/2014,cat food
2325,10/22/2014,rolls/buns
1951,7/27/2014,napkins
1862,10/27/2014,domestic eggs
1877,6/16/2014,whipped/sour cream
3236,4/17/2014,brown bread
2068,2/6/2014,yogurt
1388,8/5/2014,rolls/buns
4014,5/27/2014,yogurt
1719,8/8/2014,brown bread
4167,10/28/2014,pastry
3099,4/9/2014,waffles
1998,3/2/2014,frozen vegetables
3630,7/27/2014,cream cheese 
1365,1/2/2014,frozen vegetables
2878,4/11/2014,whipped/sour cream
3158,2/14/2014,margarine
3842,10/13/2014,pot plants
2738,10/31/2014,onions
4595,11/6/2014,white bread
1979,12/16/2014,salty snack
3411,3/12/2014,whole milk
4703,10/20/2014,soda
1615,11/30/2014,white bread
1710,8/3/2014,specialty chocolate
2699,7/18/2014,butter
1859,4/2/2014,root vegetables
1997,10/30/2014,shopping bags
4852,9/1/2014,bottled water
4893,7/22/2014,beverages
4985,12/3/2014,shopping bags
4428,8/16/2014,other vegetables
1979,9/5/2014,white bread
2847,4/1/2014,soups
3879,10/1/2014,curd
4735,3/30/2014,bottled water
2038,10/14/2014,sauces
2132,12/19/2014,whipped/sour cream
3560,5/27/2014,light bulbs
1354,10/18/2014,soda
4230,5/28/2014,pastry
4582,2/3/2014,specialty chocolate
4660,10/16/2014,soda
2255,4/21/2014,dessert
4862,4/26/2014,whole milk
1605,2/3/2014,soda
1403,11/1/2014,cling film/bags
1192,12/27/2014,brown bread
1617,7/20/2014,sugar
2806,1/19/2014,whipped/sour cream
2749,11/20/2014,pastry
4840,11/22/2014,whipped/sour cream
1381,7/5/2014,pastry
1932,6/19/2014,fruit/vegetable juice
4124,11/25/2014,semi-finished bread
1412,8/21/2014,make up remover
1841,12/16/2014,soft cheese
1736,7/15/2014,butter
1798,6/22/2014,whole milk
1004,1/5/2014,dish cleaner
1582,10/6/2014,shopping bags
3664,2/13/2014,pastry
2225,9/29/2014,rolls/buns
3175,4/29/2014,rolls/buns
1891,5/1/2014,hygiene articles
4306,5/17/2014,white bread
1545,1/4/2014,brown bread
1741,5/12/2014,specialty chocolate
3289,9/27/2014,chocolate
2139,3/7/2014,chewing gum
4362,6/14/2014,whipped/sour cream
4371,5/24/2014,frozen vegetables
4206,9/9/2014,oil
3185,2/21/2014,newspapers
2440,6/26/2014,jam
3827,9/8/2014,misc. beverages
1949,4/13/2014,cat food
3410,1/20/2014,shopping bags
3530,1/24/2014,napkins
4696,3/10/2014,oil
2963,1/3/2014,pickled vegetables
2396,8/21/2014,sugar
1913,2/25/2014,cat food
4657,12/27/2014,bottled beer
2641,1/4/2014,brown bread
2615,1/19/2014,frozen vegetables
4681,10/31/2014,shopping bags
1169,12/15/2014,cake bar
4769,10/7/2014,soda
2010,5/17/2014,shopping bags
1384,6/28/2014,waffles
2788,10/8/2014,rolls/buns
4628,11/2/2014,zwieback
3838,12/21/2014,light bulbs
2965,7/6/2014,newspapers
1903,2/17/2014,sweet spreads
4722,7/1/2014,hygiene articles
4209,7/29/2014,liquor (appetizer)
1422,5/13/2014,fruit/vegetable juice
2995,3/19/2014,specialty chocolate
1094,8/18/2014,newspapers
3827,6/24/2014,canned beer
3846,1/9/2014,canned vegetables
3259,1/2/2014,soda
4278,5/20/2014,white wine
2194,9/9/2014,shopping bags
2094,3/24/2014,bottled water
3511,4/30/2014,soda
